ID,TIED,PLACE,STATE,ID_MEDALLA,ID_OLIMPIADA,ID_EVENTO
154,True,9.0,COMPLETED,1,3,29
155,False,3.0,COMPLETED,2,6,29
156,True,5.0,COMPLETED,1,6,28
157,True,9.0,COMPLETED,1,14,5
158,True,5.0,COMPLETED,1,3,34
159,True,5.0,COMPLETED,1,6,34
160,False,,DNS,1,11,18
161,False,1.0,COMPLETED,4,11,21
162,False,4.0,COMPLETED,1,1,21
163,True,17.0,COMPLETED,1,14,2
164,True,16.0,COMPLETED,1,1,18
165,False,3.0,COMPLETED,2,1,21
166,True,17.0,COMPLETED,1,2,2
167,False,1.0,COMPLETED,4,12,1
168,False,1.0,COMPLETED,4,12,2
169,False,2.0,COMPLETED,3,3,2
170,False,2.0,COMPLETED,3,11,18
171,False,2.0,COMPLETED,3,11,21
172,True,5.0,COMPLETED,1,1,18
173,True,7.0,COMPLETED,1,1,21
174,True,33.0,COMPLETED,1,5,1
175,True,17.0,COMPLETED,1,5,2
176,False,3.0,COMPLETED,2,11,2
177,True,17.0,COMPLETED,1,14,4
178,True,13.0,COMPLETED,1,14,5
179,True,9.0,COMPLETED,1,5,5
180,True,9.0,COMPLETED,1,11,1
181,True,4.0,COMPLETED,1,11,2
182,False,2.0,COMPLETED,3,1,18
183,False,1.0,COMPLETED,4,9,1
184,True,3.0,COMPLETED,2,9,3
185,False,1.0,COMPLETED,4,9,2
186,True,3.0,COMPLETED,1,9,20
187,True,3.0,COMPLETED,1,9,6
188,True,3.0,COMPLETED,2,9,1
189,True,9.0,COMPLETED,1,9,20
190,False,2.0,COMPLETED,1,9,6
191,False,1.0,COMPLETED,4,11,2
192,True,9.0,COMPLETED,1,14,4
193,False,3.0,COMPLETED,2,11,1
194,False,4.0,COMPLETED,1,11,18
195,False,5.0,COMPLETED,1,11,21
196,False,7.0,COMPLETED,1,11,18
197,False,4.0,COMPLETED,1,11,21
198,True,9.0,COMPLETED,1,4,1
199,True,29.0,COMPLETED,1,4,2
200,True,9.0,COMPLETED,1,5,34
201,False,1.0,COMPLETED,4,11,18
202,False,4.0,COMPLETED,1,14,35
203,True,17.0,COMPLETED,1,5,24
204,True,17.0,COMPLETED,1,3,24
205,True,17.0,COMPLETED,1,3,34
206,True,33.0,COMPLETED,1,6,1
207,True,33.0,COMPLETED,1,7,1
208,True,17.0,COMPLETED,1,6,29
209,True,17.0,COMPLETED,1,6,24
210,True,9.0,COMPLETED,1,6,34
211,True,5.0,COMPLETED,1,1,21
212,False,4.0,COMPLETED,1,1,18
213,True,5.0,COMPLETED,1,2,1
214,False,2.0,COMPLETED,3,9,1
215,False,2.0,COMPLETED,3,9,3
216,False,2.0,COMPLETED,3,11,2
217,True,25.0,COMPLETED,1,14,4
218,True,9.0,COMPLETED,1,5,4
219,True,33.0,COMPLETED,1,3,4
220,False,1.0,COMPLETED,4,11,1
221,False,3.0,COMPLETED,2,11,18
222,True,9.0,COMPLETED,1,3,1
