ID,EDAD,ID_ATLETA,ID_RESULTADO,ID_PAIS_REPRESENTA
191115,25,89553,82773,72
191116,35,89554,83911,84
191117,35,89554,87424,84
191118,25,89555,91976,73
191119,25,89555,91977,73
191120,25,89555,91978,73
191121,28,89556,91979,14
191122,32,89556,91869,14
191123,24,89557,82914,72
191124,28,89557,82915,72
191125,34,89557,83602,72
191126,27,89558,86406,14
191127,23,89559,91980,37
191128,23,89559,91981,37
191129,23,89559,84826,37
191130,28,89560,83383,148
191131,29,89561,91982,14
191132,20,89562,89165,14
191133,24,89562,91983,14
191134,28,89562,82801,14
191135,28,89562,91984,14
191136,26,89563,85809,77
191137,26,89563,85810,77
191138,31,89564,91985,82
191139,24,89565,91986,82
191140,22,89566,80170,215
191141,34,89567,91987,217
191142,26,89568,91988,171
191143,30,89569,89281,215
191144,29,89570,82779,71
191145,29,89571,82779,71
191146,29,89572,86540,71
191147,23,89573,84263,72
191148,21,89574,82863,228
191149,29,89574,82369,228
191150,25,89575,82914,72
191151,26,89576,91989,73
191152,26,89576,83936,73
191153,30,89576,91990,73
191154,23,89577,91991,71
191155,23,89577,91992,71
191156,23,89577,82860,71
191157,23,89577,91993,71
191158,22,89578,91994,71
191159,28,89579,91995,37
191160,26,89580,82914,72
191161,22,89581,91996,79
191162,22,89581,91997,79
191163,22,89581,87825,79
191164,26,89581,91998,79
191165,26,89581,91999,79
191166,26,89581,87826,79
191167,30,89581,92000,79
191168,30,89581,85371,79
191169,24,89582,92001,82
191170,28,89582,92002,82
191171,29,89583,92003,195
191172,21,89584,92004,171
191173,21,89584,92005,171
191174,21,89584,83977,171
191175,19,89585,92006,217
191176,30,89586,91987,217
191177,32,89586,89759,217
191178,,89587,92007,199
191179,,89587,84276,199
191180,,89587,84277,199
191181,26,89588,83155,192
191182,23,89589,83537,192
191183,28,89590,84351,82
191184,28,89590,92008,82
191185,28,89590,92009,82
191186,32,89591,71789,192
191187,24,89592,87044,37
191188,28,89592,92010,37
191189,34,89593,85205,192
191190,38,89593,13430,192
191191,23,89594,92011,215
191192,23,89594,92012,215
191193,27,89594,88438,67
191194,27,89594,92013,67
191195,29,89594,87179,67
191196,29,89594,92014,67
191197,24,89595,83214,217
191198,25,89596,86540,71
191199,25,89597,92015,217
191200,25,89597,85555,217
191201,25,89597,92016,217
191202,22,89598,84688,164
191203,26,89598,83181,164
191204,20,89599,92017,217
191205,24,89599,92018,217
191206,28,89600,86122,77
191207,28,89601,92019,134
191208,24,89603,92020,42
191209,24,89603,92021,42
191210,24,89604,92022,42
191211,24,89604,92023,42
191212,19,89605,92024,42
191213,19,89605,92025,42
191214,19,89605,92026,42
191215,23,89605,92027,42
191216,23,89605,92028,42
191217,23,89605,92029,42
191218,27,89605,92030,42
191219,27,89605,92031,42
191220,27,89605,92032,42
191221,27,89605,92033,42
191222,31,89605,92034,42
191223,31,89605,92035,42
191224,31,89605,92036,42
191225,31,89605,92037,42
191226,18,89606,92038,42
191227,20,89606,92039,42
191228,20,89606,92040,42
191229,20,89606,92026,42
191230,18,89607,92041,166
191231,23,89608,92042,42
191232,23,89608,92043,42
191233,19,89609,79373,42
191234,20,89610,87267,166
191235,22,89611,92044,42
191236,22,89611,92045,42
191237,26,89611,92046,42
191238,26,89611,92047,42
191239,26,89611,92048,42
191240,20,89612,92049,166
191241,20,89612,92050,166
191242,31,89613,92051,152
191243,31,89613,83039,152
191244,22,89614,92052,206
191245,26,89614,92053,206
191246,24,89615,83909,199
191247,28,89615,83910,199
191248,32,89615,83381,199
191249,29,89616,92054,93
191250,29,89616,92055,93
191251,25,89617,83742,199
191252,26,89618,92056,14
191253,26,89618,92057,14
191254,30,89618,92058,14
191255,30,89618,92059,14
191256,24,89619,92060,73
191257,23,89620,83638,199
191258,24,89621,83058,37
191259,23,89622,84263,72
191260,24,89623,92061,148
191261,24,89623,92062,148
191262,24,89623,92063,148
191263,29,89624,92064,77
191264,28,89625,92065,217
191265,29,89626,92066,37
191266,29,89626,92067,37
191267,26,89627,82369,152
191268,30,89628,12068,20
191269,23,89629,77136,14
191270,21,89630,92068,93
191271,29,89631,92069,71
191272,29,89631,92070,71
191273,29,89632,92071,71
191274,23,89633,83081,195
191275,18,89634,92072,228
191276,18,89634,92073,228
191277,27,89635,83083,195
191278,22,89636,83764,217
191279,27,89637,84692,217
191280,34,89638,92074,195
191281,29,89639,92075,195
191282,29,89639,92076,195
191283,29,89639,92077,195
191284,25,89640,92078,206
191285,25,89640,82811,206
191286,29,89640,92079,206
191287,29,89640,82808,206
191288,21,89641,92080,42
191289,25,89641,92081,42
191290,25,89641,92048,42
191291,26,89642,92082,152
191292,30,89642,92083,152
191293,21,89643,83522,195
191294,21,89643,87937,195
191295,21,89643,92084,195
191296,21,89643,90123,195
191297,25,89644,83253,37
191298,27,89645,82371,195
191299,30,89646,92085,195
191300,31,89647,92086,195
191301,21,89648,83085,195
191302,28,89649,86474,195
191303,22,89650,90378,152
191304,22,89650,86801,152
191305,22,89650,83524,152
191306,22,89650,87019,152
191307,21,89651,82370,195
191308,26,89652,92087,82
191309,32,89653,84877,14
191310,36,89653,85689,14
191311,30,89654,92088,195
191312,33,89655,82770,195
191313,33,89655,92089,195
191314,31,89656,92090,195
191315,25,89657,82371,195
191316,35,89658,88052,195
191317,35,89658,83532,195
191318,35,89658,92091,195
191319,32,89659,83079,195
191320,25,89660,92092,14
191321,25,89660,85943,14
191322,25,89660,85944,14
191323,29,89660,92093,14
191324,33,89660,92094,14
191325,24,89661,85441,37
191326,26,89662,83065,195
191327,21,89663,90581,195
191328,23,89663,90582,195
191329,25,89664,83312,195
191330,25,89665,92095,195
191331,24,89666,92096,195
191332,24,89666,92097,195
191333,24,89666,83853,195
191334,31,89667,84301,71
191335,19,89668,83253,37
191336,25,89668,92098,37
191337,29,89668,89991,37
191338,30,89669,92099,195
191339,28,89670,83084,195
191340,20,89671,84093,195
191341,20,89671,92100,195
191342,20,89671,92101,195
191343,24,89671,92102,195
191344,24,89671,92103,195
191345,24,89671,92104,195
191346,27,89672,88247,71
191347,31,89672,89880,71
191348,35,89672,82779,71
191349,34,89673,92105,152
191350,34,89673,92106,152
191351,34,89673,83390,152
191352,22,89674,92107,14
191353,30,89675,92108,14
191354,25,89676,92109,71
191355,25,89676,92110,71
191356,19,89677,92111,41
191357,19,89677,92112,41
191358,19,89677,92113,41
191359,23,89677,92114,41
191360,23,89677,83853,41
191361,21,89678,92115,41
191362,21,89678,84711,41
191363,21,89678,83840,41
191364,21,89678,92116,41
191365,21,89678,83853,41
191366,25,89678,82385,41
191367,27,89678,92117,41
191368,27,89678,83607,41
191369,27,89678,85564,41
191370,31,89678,92118,41
191371,26,89679,89880,71
191372,36,89680,86677,164
191373,24,89681,92119,152
191374,24,89681,92120,152
191375,24,89681,86593,152
191376,28,89681,92121,152
191377,28,89681,91298,152
191378,26,89682,92122,199
191379,26,89682,92123,199
191380,26,89683,86540,71
191381,19,89684,92124,217
191382,23,89685,92125,42
191383,23,89685,92126,42
191384,19,89686,92127,42
191385,21,89686,92128,42
191386,21,89686,92129,42
191387,25,89686,92130,42
191388,25,89686,92131,42
191389,22,89687,92132,42
191390,22,89687,92133,42
191391,22,89687,92134,42
191392,21,89688,92135,42
191393,25,89688,92136,42
191394,25,89688,92137,42
191395,25,89688,92138,42
191396,27,89688,85865,42
191397,23,89689,92139,206
191398,27,89689,92140,206
191399,33,89689,92141,206
191400,27,89690,92142,217
191401,28,89691,92143,77
191402,32,89691,92144,77
191403,36,89691,92145,77
191404,36,89691,92146,77
191405,24,89692,83054,217
191406,24,89692,83505,217
191407,24,89692,85442,217
191408,23,89693,92147,171
191409,23,89693,89388,171
191410,27,89693,92148,171
191411,27,89693,85581,171
191412,31,89693,85905,171
191413,30,89694,83084,195
191414,18,89695,83994,152
191415,22,89695,92149,152
191416,22,89695,92150,152
191417,22,89695,92151,152
191418,26,89695,92152,152
191419,26,89695,92153,152
191420,26,89695,92154,152
191421,30,89695,92155,152
191422,30,89695,92156,152
191423,30,89695,92157,152
191424,18,89696,92158,5
191425,18,89696,82810,5
191426,18,89696,82811,5
191427,25,89697,86716,77
191428,29,89697,92159,77
191429,29,89697,66277,77
191430,33,89697,92160,77
191431,37,89697,84727,77
191432,37,89697,84728,77
191433,27,89698,85205,192
191434,23,89699,83899,69
191435,27,89700,92161,215
191436,27,89700,92162,215
191437,19,89701,92163,72
191438,23,89701,92164,72
191439,23,89701,92165,72
191440,23,89701,92166,72
191441,27,89701,92167,72
191442,27,89701,92168,72
191443,27,89701,83513,72
191444,21,89702,92169,103
191445,21,89702,92170,103
191446,25,89702,84584,103
191447,25,89702,92171,103
191448,22,89703,92172,79
191449,26,89704,1373,54
191450,30,89704,1374,54
191451,34,89704,1375,54
191452,34,89705,1373,54
191453,21,89706,1373,54
191454,38,89707,1373,54
191455,29,89708,1373,54
191456,33,89708,1374,54
191457,37,89708,1375,54
191458,21,89709,1386,107
191459,29,89709,92173,107
191460,24,89710,1386,107
191461,31,89711,1386,107
191462,25,89712,1386,107
191463,25,89713,1386,107
191464,20,89714,1386,107
191465,30,89715,1386,107
191466,22,89716,1386,107
