ID_OLIMPIADA,ID_CIUDAD
5,681
16,4526
2,22369
9,8934
47,303
42,17332
43,8008
29,2720
36,19890
25,19985
51,12661
6,12478
3,6222
1,10637
4,8934
54,9318
28,4526
44,12119
37,19481
8,1775
17,16414
7,241
53,22370
39,19302
50,8797
13,2720
23,3531
19,22371
14,17668
30,1871
40,14405
45,22372
24,5823
26,15778
21,13132
18,15834
20,7754
27,19415
38,2414
52,8140
49,7390
48,19302
34,22373
15,16854
35,6465
11,4526
33,6465
31,12661
41,1548
12,241
24,10637
