ID,YEAR,CANTIDAD,ID_PAIS
1,1960,54608.0,157
2,1960,8622466.0,161
3,1960,5357195.0,135
4,1960,1608800.0,190
5,1960,9443.0,134
6,1960,133426.0,187
7,1960,20349744.0,16
8,1960,1904148.0,36
9,1960,20085.0,158
10,1960,55342.0,136
11,1960,10276477.0,17
12,1960,7047539.0,13
13,1960,3894500.0,193
14,1960,2746628.0,208
15,1960,9153489.0,18
16,1960,2512284.0,89
17,1960,4783259.0,75
18,1960,50396429.0,197
19,1960,7867374.0,22
20,1960,160691.0,188
21,1960,3262539.0,39
22,1960,8198000.0,20
23,1960,91403.0,163
24,1960,44400.0,38
25,1960,3707515.0,164
26,1960,73092515.0,21
27,1960,232550.0,162
28,1960,85346.0,198
29,1960,221266.0,19
30,1960,512865.0,165
31,1960,1679728.0,76
32,1960,17909356.0,23
33,1960,5327827.0,107
34,1960,8141820.0,43
35,1960,5117608.0,82
36,1960,15687688.0,25
37,1960,194852.0,209
38,1960,209849.0,210
39,1960,1346302.0,26
40,1960,7267395.0,85
41,1960,8473.0,186
42,1960,585725.0,27
43,1960,9602006.0,88
44,1960,85940.0,195
45,1960,59379.0,199
46,1960,4579603.0,28
47,1960,3298021.0,86
48,1960,11394307.0,114
49,1960,4618158.0,90
50,1960,993568.0,219
51,1960,30455000.0,29
52,1960,1211537.0,30
53,1960,21739710.0,130
54,1960,4429634.0,31
55,1960,401841.0,131
56,1960,46649927.0,1
57,1960,513340.0,132
58,1960,6911510.0,5
59,1960,3516814.0,140
60,1960,267351.0,211
61,1960,8331725.0,6
62,1960,93772.0,139
63,1960,4128880.0,7
64,1960,72374.0,35
65,1960,2078617.0,141
66,1960,4140181.0,87
67,1960,3901139.0,8
68,1960,9983967.0,10
69,1960,88382881.0,12
70,1960,445954579.0,15
71,1960,2828600.0,46
72,1960,7084678.0,47
73,1960,175574.0,48
74,1960,2114020.0,49
75,1960,1642331.0,51
76,1960,847936.0,52
77,1960,93216000.0,53
78,1960,9319283.0,93
79,1960,7751435.0,94
80,1960,5541676.0,77
81,1960,47093.0,224
82,1960,305415.0,56
83,1960,1798092.0,59
84,1960,1137026.0,145
85,1960,1426986.0,58
86,1960,16472.0,184
87,1960,9783871.0,117
88,1960,737838.0,146
89,1960,2778550.0,60
90,1960,313970.0,61
91,1960,2120979.0,57
92,1960,11769774.0,63
93,1960,21797.0,98
94,1960,5073342.0,62
95,1960,91650.0,200
96,1960,36268055.0,66
97,1960,15374.0,225
98,1960,1462368.0,182
99,1960,5346792.0,148
100,1960,326550.0,97
101,1960,21720697.0,150
102,1960,977903.0,96
103,1960,6788375.0,149
104,1960,838478.0,205
105,1960,676683.0,65
106,1960,3621081.0,147
107,1960,7833782.0,64
108,1960,590181.0,151
109,1960,3497431.0,153
110,1960,44928342.0,67
111,1960,1789684.0,133
112,1960,3581239.0,68
113,1960,10167941.0,152
114,1960,4582.0,202
115,1960,2371800.0,69
116,1960,536553.0,155
117,1960,45954226.0,70
118,1960,1126989.0,156
119,1960,10172207.0,72
120,1960,28486871.0,73
121,1960,9446.0,222
122,1960,1985666.0,166
123,1960,29637450.0,74
124,1960,2358000.0,84
125,1960,8857716.0,99
126,1960,1894829.0,71
127,1960,36385.0,115
128,1960,18406905.0,101
129,1960,119897000.0,103
130,1960,2966162.0,189
131,1960,8326462.0,118
132,1960,3273177.0,160
133,1960,1646400.0,116
134,1960,133440.0,106
135,1960,2301310.0,171
136,1960,2779327.0,92
137,1960,15556.0,105
138,1960,2870732.0,215
139,1960,268396.0,119
140,1960,1584720.0,104
141,1960,7484656.0,108
142,1960,345065.0,172
143,1960,41700.0,170
144,1960,4610712.0,173
145,1960,1651367.0,177
146,1960,26596584.0,109
147,1960,2131992.0,176
148,1960,1602052.0,11
149,1960,67428.0,175
150,1960,847063.0,121
151,1960,4195467.0,122
152,1960,5404.0,226
153,1960,7617746.0,123
154,1960,42767251.0,111
155,1960,2529021.0,124
156,1960,8372311.0,125
157,1960,7850.0,206
158,1960,64608.0,178
159,1960,113335.0,168
160,1960,16520441.0,102
161,1960,3119430.0,154
162,1960,3806310.0,113
163,1961,55811.0,157
164,1961,8790140.0,161
165,1961,5441333.0,135
166,1961,1659800.0,190
167,1961,10216.0,134
168,1961,140984.0,187
169,1961,20680653.0,16
170,1961,1971530.0,36
171,1961,20626.0,158
172,1961,56245.0,136
173,1961,10483000.0,17
174,1961,7086299.0,13
175,1961,4045750.0,193
176,1961,2815972.0,208
177,1961,9183948.0,18
178,1961,2551216.0,89
179,1961,4852833.0,75
180,1961,51882769.0,197
181,1961,7943118.0,22
182,1961,166970.0,188
183,1961,3325333.0,39
184,1961,8271216.0,20
185,1961,93757.0,163
186,1961,45500.0,38
187,1961,3784744.0,164
188,1961,75330008.0,21
189,1961,233698.0,162
190,1961,89561.0,198
191,1961,227071.0,19
192,1961,524403.0,165
193,1961,1710364.0,76
194,1961,18271000.0,23
195,1961,5434294.0,107
196,1961,8313535.0,43
197,1961,5200355.0,82
198,1961,16182414.0,25
199,1961,198617.0,209
200,1961,214788.0,210
201,1961,1396138.0,26
202,1961,7418518.0,85
203,1961,8626.0,186
204,1961,594771.0,27
205,1961,9586651.0,88
206,1961,89270.0,195
207,1961,60395.0,199
208,1961,4611687.0,28
209,1961,3408415.0,86
210,1961,11598608.0,114
211,1961,4751507.0,90
212,1961,1016932.0,219
213,1961,30739250.0,29
214,1961,1225077.0,30
215,1961,22281675.0,130
216,1961,4461005.0,31
217,1961,414534.0,131
218,1961,47161641.0,1
219,1961,519329.0,132
220,1961,7109029.0,5
221,1961,3578631.0,140
222,1961,272264.0,211
223,1961,8398050.0,6
224,1961,95096.0,139
225,1961,4251911.0,7
226,1961,73873.0,35
227,1961,2139928.0,141
228,1961,4167292.0,87
229,1961,3974934.0,8
230,1961,10029321.0,10
231,1961,90816938.0,12
232,1961,456351876.0,15
233,1961,2824400.0,46
234,1961,7260714.0,47
235,1961,179029.0,48
236,1961,2185000.0,49
237,1961,1663754.0,51
238,1961,891848.0,52
239,1961,94055000.0,53
240,1961,9639302.0,93
241,1961,8047470.0,94
242,1961,5664654.0,77
243,1961,48275.0,224
244,1961,339697.0,56
245,1961,1853295.0,59
246,1961,1165005.0,145
247,1961,1478760.0,58
248,1961,16834.0,184
249,1961,10022888.0,117
250,1961,760895.0,146
251,1961,2823550.0,60
252,1961,316845.0,61
253,1961,2152681.0,57
254,1961,12081713.0,63
255,1961,21907.0,98
256,1961,5206239.0,62
257,1961,93952.0,200
258,1961,37439317.0,66
259,1961,15867.0,225
260,1961,1481112.0,182
261,1961,5420247.0,148
262,1961,325250.0,97
263,1961,22203109.0,150
264,1961,1011502.0,96
265,1961,6917521.0,149
266,1961,861663.0,205
267,1961,680757.0,65
268,1961,3708193.0,147
269,1961,8074805.0,64
270,1961,601424.0,151
271,1961,3602530.0,153
272,1961,45855507.0,67
273,1961,1844630.0,133
274,1961,3609800.0,68
275,1961,10365144.0,152
276,1961,4753.0,202
277,1961,2419700.0,69
278,1961,546443.0,155
279,1961,47060915.0,70
280,1961,1160832.0,156
281,1961,10478096.0,72
282,1961,29342411.0,73
283,1961,9639.0,222
